project_name,donor_number,chain_donated,token,amount,amountUSD,qf_eligible,badgeholder
Blockscout Open-Source Block Explorer,Donor 1,10,GIV,200,0.11379,FALSE,FALSE
Unruggable,Donor 19,10,USDC,5,4.999255,TRUE,FALSE
Safe Multisig Transaction Hashes,Donor 21,10,ETH,0.003,6.99411,TRUE,FALSE
EVMcrispr,Donor 21,10,ETH,0.005,11.65685,TRUE,FALSE
Blobscan,Donor 21,10,ETH,0.003,6.99411,TRUE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 21,10,ETH,0.005,11.65685,TRUE,FALSE
Remix Project,Donor 21,10,ETH,0.003,6.99411,TRUE,FALSE
Walletbeat,Donor 21,10,ETH,0.003,6.99411,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 22,42220,CELO,20,1.77412,TRUE,FALSE
Zealynx Academy,Donor 7,100,GIV,10000,5.7162,TRUE,FALSE
LIF: Legitimate Intervention Framework,Donor 23,1,ETH,0.0001,0.233082,TRUE,FALSE
The Web3 OpSec Standard - W3OS,Donor 24,1,ETH,1,2327.14,FALSE,FALSE
Open-Source AI Security Triage by HackenProof,Donor 25,8453,ETH,0.008583838349,19.90677952,TRUE,FALSE
Self-Custodial Agent Authorization for Ethereum,Donor 26,8453,ETH,0.0015,3.476595,TRUE,FALSE
EVMcrispr,Donor 26,8453,USDC,2,1.999694,TRUE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 7,100,GIV,10000,5.6159,TRUE,FALSE
SEAL 911,Donor 27,100,XDAI,1,0.999835,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 27,100,XDAI,2.3,2.2996205,TRUE,FALSE
Vyper,Donor 27,100,XDAI,1,0.999835,TRUE,FALSE
Sourcify,Donor 27,100,XDAI,1,0.999835,TRUE,FALSE
Anticapture by blockful,Donor 28,100,USDC,5,4.999395,TRUE,FALSE
DeFiScan,Donor 1,10,GIV,0.025,0.0000139955,FALSE,FALSE
Anticapture by blockful,Donor 28,100,USDC,6,5.999394,TRUE,FALSE
Boring Security,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
Revoke.cash,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
SEAL Safe Harbor,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
Cyfrin/Solodit Tooling and Security Research,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
SEAL 911,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
Walletbeat,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
DeFiScan,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
Blobscan,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
ZachXBT,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
The Obol Collective,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
Unruggable,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
SEAL Frameworks,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
human.tech,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
Protocol Guild,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
rotki,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
ECH Institute - EthCatHerders,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
SEAL Intel,Donor 28,100,USDC,1.1,1.0998889,TRUE,FALSE
The Web3 OpSec Standard - W3OS,Donor 1,10,GIV,100,0.055817,FALSE,FALSE
human.tech,Donor 29,8453,USDC,10,9.99823,TRUE,FALSE
Protocol Guild,Donor 30,100,GIV,10000,5.6582,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 31,8453,DEGEN,0.0001,6.67E-08,FALSE,FALSE
SEAL 911,Donor 32,100,XDAI,1.2,1.1999676,FALSE,FALSE
Open-Source AI Security Triage by HackenProof,Donor 33,8453,ETH,0.001,2.31368,TRUE,FALSE
CORE3. The open risk layer for Web3,Donor 33,8453,ETH,0.001,2.31368,TRUE,FALSE
human.tech,Donor 34,1,ETH,0.001,2.31368,TRUE,FALSE
Revoke.cash,Donor 35,100,HAUS,1,0.140389,FALSE,FALSE
DeFiScan,Donor 35,100,HAUS,1,0.140389,FALSE,FALSE
Protocol Guild,Donor 35,100,HAUS,1,0.140389,FALSE,FALSE
Anticapture by blockful,Donor 35,100,HAUS,1,0.140389,FALSE,FALSE
rotki,Donor 35,100,HAUS,1,0.140389,FALSE,FALSE
SEAL Intel,Donor 35,100,HAUS,1,0.140389,FALSE,FALSE
EIPsInsight,Donor 36,10,GIV,9000,5.06025,TRUE,FALSE
ECH Institute - EthCatHerders,Donor 36,10,GIV,9000,5.06025,TRUE,FALSE
human.tech,Donor 37,8453,USDC,1.02,1.01989698,TRUE,FALSE
SEAL 911,Donor 38,8453,USDC,2,1.999668,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 38,8453,USDC,1,0.999834,FALSE,FALSE
Sourcify,Donor 38,8453,USDC,2,1.999668,FALSE,FALSE
Walletbeat,Donor 38,8453,USDC,5,4.99917,FALSE,FALSE
EVMcrispr,Donor 39,8453,USDC,13,12.99727,TRUE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 39,8453,USDC,13,12.99727,TRUE,FALSE
EVMcrispr,Donor 40,8453,USDC,5,4.9992,TRUE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 40,8453,USDC,5,4.9992,TRUE,FALSE
SEAL 911,Donor 41,8453,USDC,10,9.99809,TRUE,FALSE
Cyfrin/Solodit Tooling and Security Research,Donor 41,8453,USDC,5,4.999045,TRUE,FALSE
Act,Donor 41,8453,USDC,5,4.999045,TRUE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 41,8453,USDC,10,9.99809,TRUE,FALSE
Protocol Guild,Donor 41,8453,USDC,10,9.99809,TRUE,FALSE
EVMcrispr,Donor 41,8453,USDC,5,4.999045,TRUE,FALSE
Safe Multisig Transaction Hashes,Donor 41,8453,USDC,5,4.99895,TRUE,FALSE
SEAL Safe Harbor,Donor 42,1,FINN,9,20.9196,TRUE,TRUE
Symproof by BlockScience & Shield3,Donor 42,1,FINN,9,20.9196,TRUE,TRUE
SEAL Certifications,Donor 42,1,FINN,9,20.9196,TRUE,TRUE
Protocol Guild,Donor 42,1,FINN,9,20.9196,TRUE,TRUE
SEAL 911,Donor 42,1,FINN,9,20.9196,TRUE,TRUE
SEAL Intel,Donor 43,1,FINN,9,20.9196,TRUE,TRUE
SEAL 911,Donor 43,1,FINN,9,20.9196,TRUE,TRUE
SEAL Safe Harbor,Donor 43,1,FINN,9,20.9196,TRUE,TRUE
SEAL Frameworks,Donor 43,1,FINN,9,20.9196,TRUE,TRUE
SEAL Certifications,Donor 43,1,FINN,9,20.9196,TRUE,TRUE
Canon Guard,Donor 43,1,FINN,1,2.3244,TRUE,TRUE
Open-Source AI Security Triage by HackenProof,Donor 44,8453,ETH,0.004,9.31856,TRUE,FALSE
Open-Source AI Security Triage by HackenProof,Donor 44,8453,ETH,0.02,46.598,TRUE,FALSE
SEAL Intel,Donor 43,1,WETH,0.05,116.579,TRUE,TRUE
SEAL Frameworks,Donor 43,1,WETH,0.05,116.579,TRUE,TRUE
SEAL Certifications,Donor 43,1,WETH,0.8,1865.264,TRUE,TRUE
SEAL Safe Harbor,Donor 43,1,WETH,0.05,116.579,TRUE,TRUE
SEAL 911,Donor 43,1,WETH,0.05,116.579,TRUE,TRUE
SEAL Certifications,Donor 45,100,XDAI,25,24.99645,TRUE,FALSE
Symproof by BlockScience & Shield3,Donor 45,100,XDAI,25,24.99645,TRUE,FALSE
Protocol Guild,Donor 45,100,XDAI,25,24.99645,TRUE,FALSE
rotki,Donor 46,1,ETH,0.004206971,9.821005521,FALSE,FALSE
Anticapture by blockful,Donor 47,8453,USDC,7.001113177,7.00025204,TRUE,FALSE
CypherTalk Podcast: Security Education for Ethereum,Donor 48,137,USDC,5,4.999385,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 48,137,USDC,5,4.999385,TRUE,FALSE
ZachXBT,Donor 48,137,USDC,5,4.999385,TRUE,FALSE
BlockThreat,Donor 48,137,USDC,5,4.999385,TRUE,FALSE
EVMcrispr,Donor 49,10,DAI,10,10,FALSE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 49,10,DAI,10,10,FALSE,FALSE
Self-Custodial Agent Authorization for Ethereum,Donor 21,10,ETH,0.001,2.33405,TRUE,FALSE
SEAL Safe Harbor,Donor 50,8453,USDC,2,1.999598,TRUE,FALSE
EVMcrispr,Donor 50,8453,USDC,10,9.99799,TRUE,FALSE
SEAL 911,Donor 50,8453,USDC,2,1.999598,TRUE,FALSE
ZachXBT,Donor 50,8453,USDC,2,1.999598,TRUE,FALSE
Verity: Formal Verification for Smart Contracts,Donor 51,1,USDC,22,21.996832,TRUE,FALSE
ZachXBT,Donor 51,1,USDC,13.37,13.36656391,TRUE,FALSE
Walletbeat,Donor 51,1,USDC,13.37,13.36656391,TRUE,FALSE
tanuki42,Donor 51,1,USDC,13.37,13.36656391,TRUE,FALSE
Pharos Watch: Transparent Stablecoins Analytics,Donor 51,1,USDC,13.37,13.36656391,TRUE,FALSE
