id,project_name,transactionNetworkId,userId,currency,amount,amountUSD,createdAt,projectId,score,mbdScore,isBadgeholder,isQfEligible,isSelfDonation
238691313,eth.limo,1,Donor 3349,FINN,1,2.25724,2026-05-13T15:15:04.886Z,2795,16,51,TRUE,TRUE,FALSE
238691314,Vyper,1,Donor 3349,FINN,5,11.2862,2026-05-13T15:15:04.945Z,14490,16,51,TRUE,TRUE,FALSE
238691315,scfuzzbench: smart contract fuzzer benchmark suite,1,Donor 3349,FINN,1,2.25724,2026-05-13T15:15:04.939Z,16810,16,51,TRUE,TRUE,FALSE
238691316,hevm,1,Donor 3349,FINN,5,11.2862,2026-05-13T15:15:04.941Z,16174,16,51,TRUE,TRUE,FALSE
238691317,Echidna: A Fast Smart Contract Fuzzer,1,Donor 3349,FINN,15,33.8586,2026-05-13T15:15:05.008Z,16194,16,51,TRUE,TRUE,FALSE
238691318,BlockThreat,1,Donor 3349,FINN,5,11.2862,2026-05-13T15:15:04.948Z,16730,16,51,TRUE,TRUE,FALSE
238691319,PlankEVM,1,Donor 3349,FINN,4,9.03032,2026-05-13T15:15:04.951Z,16729,16,51,TRUE,TRUE,FALSE
238691320,Cyfrin/Solodit Tooling and Security Research,1,Donor 3349,FINN,1,2.25724,2026-05-13T15:15:09.216Z,16923,16,51,TRUE,TRUE,FALSE
238691321,Simbolik: Security Toolkit for Solidity,1,Donor 3349,FINN,1,2.25724,2026-05-13T15:15:09.287Z,17099,16,51,TRUE,TRUE,FALSE
238691322,snekmate,1,Donor 3349,FINN,5,11.2862,2026-05-13T15:15:09.289Z,16209,16,51,TRUE,TRUE,FALSE
238691323,Protocol Guild,1,Donor 3349,FINN,1,2.25724,2026-05-13T15:15:09.266Z,2821,16,51,TRUE,TRUE,FALSE
238691324,LLZK Maintenance & Verification Infrastructure Grant,1,Donor 3349,FINN,1,2.25724,2026-05-13T15:15:09.299Z,16981,16,51,TRUE,TRUE,FALSE
238691326,human.tech,8453,Donor 2003,USDC,0.1,0.1,2026-05-13T15:15:30.302Z,16899,31.104,1,FALSE,TRUE,FALSE
238691327,Open-Source Smart Contract Firewall,1,Donor 3363,USDT,50,49.978,2026-05-13T15:16:09.117Z,16837,16.026,-1,FALSE,TRUE,FALSE
238691328,human.tech,1,Donor 3369,ETH,0.0001,0.225724,2026-05-13T15:16:51.012Z,16899,22.539,3,FALSE,TRUE,FALSE
238691329,Nick Bax.eth,1,Donor 3167,FINN,1.5,3.38586,2026-05-13T15:19:52.364Z,17030,16,51,TRUE,TRUE,FALSE
238691330,SomaXBT,1,Donor 3167,FINN,1,2.25724,2026-05-13T15:19:52.476Z,17036,16,51,TRUE,TRUE,FALSE
238691331,WEBCAT,1,Donor 3167,FINN,1,2.25724,2026-05-13T15:19:52.488Z,16870,16,51,TRUE,TRUE,FALSE
238691332,human.tech,1,Donor 3370,ETH,0.0001,0.225572,2026-05-13T15:20:14.978Z,16899,,,FALSE,FALSE,FALSE
238691334,human.tech,8453,Donor 2000,USDC,0.11,0.10990034,2026-05-13T15:20:21.784Z,16899,,,FALSE,FALSE,FALSE
238691336,human.tech,10,Donor 3371,USDT,5.05,5.04379355,2026-05-13T15:20:34.046Z,16899,20.546,1,FALSE,TRUE,FALSE
238691338,human.tech,8453,Donor 1983,USDC,0.01,0.00999094,2026-05-13T15:21:55.539Z,16899,,,FALSE,FALSE,FALSE
238691339,Nick Bax.eth,1,Donor 3372,USDC,60,59.83716,2026-05-13T15:26:57.544Z,17030,0,98,FALSE,TRUE,FALSE
238691340,SEAL 911,1,Donor 3372,USDC,6,5.983716,2026-05-13T15:26:59.596Z,14585,0,98,FALSE,TRUE,FALSE
238691341,ZachXBT,1,Donor 3372,USDC,5.5,5.485073,2026-05-13T15:27:09.834Z,16822,0,98,FALSE,TRUE,FALSE
238691342,tanuki42,1,Donor 3372,USDC,7,6.981002,2026-05-13T15:27:09.841Z,16858,0,98,FALSE,TRUE,FALSE
238691343,human.tech,1,Donor 3373,ETH,0.00011,0.2478333,2026-05-13T15:27:52.930Z,16899,35.876,1,FALSE,TRUE,FALSE
238691344,human.tech,1,Donor 3374,ETH,0.0001,0.225303,2026-05-13T15:28:26.963Z,16899,49.326,3,FALSE,TRUE,FALSE
238691345,ZachXBT,8453,Donor 1124,USDC,1,0.997286,2026-05-13T15:28:27.809Z,16822,28.612,44,FALSE,TRUE,FALSE
238691346,Cyfrin Updraft,8453,Donor 1124,USDC,1,0.997286,2026-05-13T15:28:27.854Z,16920,28.612,44,FALSE,TRUE,FALSE
238691347,Rekt News - Ethereum's Security Intelligence Layer,8453,Donor 1124,USDC,1,0.997286,2026-05-13T15:28:27.869Z,16916,28.612,44,FALSE,TRUE,FALSE
238691348,human.tech,1,Donor 3375,ETH,0.0001012,0.228006636,2026-05-13T15:28:56.673Z,16899,45.687,1,FALSE,TRUE,FALSE
238691370,"OSs Security - Hardening for macOs, Linux & Windows",1,Donor 3171,ETH,0.1337,301.390551,2026-05-13T15:37:52.386Z,16963,16,51,TRUE,TRUE,FALSE
